kind	id	batch	language	source_file	field	before	after
lesson	PYV96_A1_REVIEW_015_FOR_SUM	PILOT_01	en	data_i18n/en/lessons/python_beginner_mixed_review_v96_a1.json	explanation	"""When 1, 2, and 3 are added to 0 in sequence, the result is 6. This is a review problem for reading beginner-level Python code line by line. When selecting the correct answer, rather than memorizing syntax names, you should check the execution order, the current values of variables, whether conditions are True or False, values that change during loops, and values retained in data structures. In particular, the values printed to the console and those stored in variables may differ, and functions are executed when called and return a value."""	"""`total` starts at 0. On the first iteration, `n` is 1 and `total` becomes 1. It then becomes 3 when `n` is 2, and 6 when `n` is 3. After the loop, `print(total)` displays 6. It is not 123 because the code performs numeric addition and stores each new sum back in `total`; it does not join text."""
lesson	PYV96_A1_REVIEW_015_FOR_SUM	PILOT_01	en	data_i18n/en/lessons/python_beginner_mixed_review_v96_a1.json	reading_goal	"""Track how `total` changes with each iteration to calculate the sum. In particular, distinguish between the initial value, the value that changes midway, and the final output line, and examine the list indices, dictionary keys, and the flow of function calls and returns together."""	"""Track how `n` changes on each loop iteration and how each value is accumulated into `total`."""
lesson	L03_dict_001	PILOT_01	ko	data/lessons/cards_seed_v1.json	explanation	"""dict는 key를 사용해 연결된 value를 꺼내는 자료구조다. row['kind']는 row 딕셔너리에서 'kind'라는 key에 연결된 값을 찾는다. 이 예제에서는 그 값이 'Sensor'이므로 결과도 Sensor가 된다. 대괄호 접근은 key가 반드시 있다고 가정하므로, key 이름의 철자와 따옴표를 함께 확인해야 한다. 없을 수도 있는 key라면 get을 고려한다."""	"""빈칸에는 value인 \""Sensor\""가 아니라 그 값을 찾는 key인 \""kind\""를 넣어야 한다. 그러면 node[\""kind\""]가 \""Sensor\""를 꺼내고 print가 Sensor를 출력한다. dict 문제에서는 대괄호 안에 넣는 key와 그 key로 꺼낸 value를 구분해야 한다. 대괄호 접근은 key가 없으면 KeyError가 나므로, key가 없을 수도 있을 때는 get()을 고려한다."""
lesson	L03_dict_001	PILOT_01	ko	data/lessons/cards_seed_v1.json	question	"""row['kind']로 꺼내는 값은?"""	"""Sensor를 출력하려면 빈칸에 어떤 key를 넣어야 할까?"""
lesson	L03_dict_001	PILOT_01	en	data_i18n/en/lessons/cards_seed_v1.json	explanation	"""A dictionary is a data structure that retrieves values associated with keys. `row['kind']` retrieves the value associated with the key \""kind\"" in the `row` dictionary. In this example, since that value is \""Sensor,\"" the result is also \""Sensor.\"" Since bracket notation assumes a key exists, you must verify both the spelling of the key name and the quotation marks. If the key might not exist, consider using `get` instead."""	"""The blank needs the key \""kind\"", not the value \""Sensor\"". Then `node[\""kind\""]` retrieves \""Sensor\"", and `print` displays Sensor. In dictionary questions, distinguish the key placed inside the brackets from the value retrieved by that key. Bracket access raises `KeyError` when the key is missing, so consider `get()` when a key may not exist."""
lesson	L03_dict_001	PILOT_01	en	data_i18n/en/lessons/cards_seed_v1.json	question	"""What value is retrieved by row['kind']?"""	"""Which key belongs in the blank so that the code prints Sensor?"""
lesson	PY125_L04_SYS_ARGV_BASIC_001	PILOT_01	en	data_i18n/en/lessons/python_argparse_cli_beginner_v125_a1.json	code	"""import sys print(sys.argv) # Example: python tool.py data.csv # Example output: ['tool.py', 'data.csv']"""	"""import sys\n\nprint(sys.argv)\n# Example: python tool.py data.csv\n# Example output: ['tool.py', 'data.csv']"""
lesson	PY125_L04_SYS_ARGV_BASIC_001	PILOT_01	en	data_i18n/en/lessons/python_argparse_cli_beginner_v125_a1.json	question	"""What does `sys.argv` refer to in the following code? `import sys print(sys.argv)`"""	"""What does `sys.argv` refer to in the following code?\n\nimport sys\nprint(sys.argv)"""
lesson	PY132_L05_PREREQUISITES_001	PILOT_01	ko	data/lessons/python_readme_setup_troubleshooting_v132_a1.json	explanation	"""Prerequisites는 사전 준비물이라는 뜻이다. Python 버전, Git, 터미널, 운영체제처럼 실행 전에 준비해야 할 조건을 적는다. 이 카드는 정답만 외우기보다, 문제의 조건과 코드의 실행 순서를 연결해서 읽는 연습으로 보면 됩니다."""	"""Prerequisites는 프로젝트를 실행하기 전에 갖춰야 할 도구와 조건을 뜻한다. 예제의 Python 3.11+, Git, PowerShell 또는 터미널이 여기에 해당한다. 이 섹션은 설치 명령을 자세히 적는 Setup과 달리, 사용자가 시작 전에 준비 상태를 확인하게 한다. 실제 API key 값처럼 공개하면 안 되는 정보는 넣지 않는다."""
lesson	PY132_L05_PREREQUISITES_001	PILOT_01	en	data_i18n/en/lessons/python_readme_setup_troubleshooting_v132_a1.json	code	"""## Prerequisites - Python 3.11 or later - Git - PowerShell or Terminal"""	"""## Prerequisites\n- Python 3.11 or later\n- Git\n- PowerShell or Terminal"""
lesson	PY132_L05_PREREQUISITES_001	PILOT_01	en	data_i18n/en/lessons/python_readme_setup_troubleshooting_v132_a1.json	explanation	"""\""Prerequisites\"" refers to the items you need to prepare in advance. List the requirements that must be met before running the code, such as the Python version, Git, the terminal, and the operating system. Rather than just memorizing the correct answers, think of this card as an exercise in connecting the problem’s conditions with the order in which the code is executed."""	"""Prerequisites are the tools and conditions that must be available before someone can run a project. In this example, they are Python 3.11 or later, Git, and PowerShell or another terminal. Unlike a Setup section, which gives installation steps, Prerequisites lets the reader check readiness before starting. It should not contain information that must remain secret, such as actual API key values."""
lesson	PY44_L07_system_prompt_001	PILOT_01	ko	data/lessons/python_llm_api_prompt_validation_v44.json	explanation	"""system prompt는 답변 톤, 금지어, 학년 제한 같은 상위 규칙을 담기 좋다. system prompt는 모델의 전체 행동 규칙을 정하는 상위 지시문이다. 응답 형식, 금지 사항, 근거 사용 규칙이 어디에 들어가는지 확인해야 한다. 따라서 정답은 ‘모델이 따라야 할 기본 역할과 규칙을 정한다’이다."""	"""system 역할의 메시지는 사용자 질문보다 앞에서 모델의 기본 역할과 답변 규칙을 정한다. 예제에서는 ‘초3 수준’이라는 설명 난이도를 먼저 지정하고, 그다음 user 메시지의 실제 질문을 처리한다. 따라서 정답은 ‘모델이 따라야 할 기본 역할과 규칙을 정한다’이다. 다만 프롬프트만으로 규칙 준수가 보장되는 것은 아니므로 중요한 형식이나 안전 조건은 출력 검증도 함께 둬야 한다."""
lesson	PY44_L07_system_prompt_001	PILOT_01	ko	data/lessons/python_llm_api_prompt_validation_v44.json	project_context	"""교육용 답변에서 학년 범위, bridge_new 제한, forbidden_terms 정책을 넣는 위치다."""	"""교육용 답변의 대상 수준, 설명 방식, 근거 사용 규칙과 금지 표현을 공통 지침으로 두는 위치다."""
lesson	PY44_L07_system_prompt_001	PILOT_01	en	data_i18n/en/lessons/python_llm_api_prompt_validation_v44.json	code	"""messages = [ {'role': 'system', 'content': 'Explain this at a third-grade level'}, {'role': 'user', 'content': question} ]"""	"""messages = [\n    {'role': 'system', 'content': 'Explain this at a third-grade level'},\n    {'role': 'user', 'content': question}\n]"""
lesson	PY44_L07_system_prompt_001	PILOT_01	en	data_i18n/en/lessons/python_llm_api_prompt_validation_v44.json	explanation	"""The system prompt is ideal for defining high-level rules such as response tone, prohibited words, and grade-level restrictions. The system prompt is a high-level set of instructions that defines the model’s overall behavior. You must verify where response formats, prohibited topics, and rules for using evidence are specified. Therefore, the correct answer is “It defines the basic role and rules that the model must follow.”"""	"""A system-role message establishes the model's basic role and response rules before the user's request is processed. In this example, it sets a third-grade explanation level, and the following user message supplies the actual question. Therefore, the answer is ‘Establish the basic roles and rules that models must follow.’ A prompt alone does not guarantee compliance, so important format and safety requirements still need output validation."""
lesson	PY44_L07_system_prompt_001	PILOT_01	en	data_i18n/en/lessons/python_llm_api_prompt_validation_v44.json	project_context	"""This is where you specify the grade range, the `bridge_new` restriction, and the `forbidden_terms` policy in the educational responses."""	"""This is where an educational app can place shared instructions about the learner level, explanation style, evidence use, and prohibited wording."""
lesson	PY38_L08_jwt_001	PILOT_01	ko	data/lessons/python_auth_security_tokens_permissions_v38.json	code	"""JWT payload:\n{\n  \""sub\"": \""u1\"",\n  \""role\"": \""student\"",\n  \""exp\"": 1770000000\n}"""	"""JWT payload:\n{\n  \""sub\"": \""u1\"",\n  \""role\"": \""student\"",\n  \""exp\"": 1893456000\n}"""
lesson	PY38_L08_jwt_001	PILOT_01	ko	data/lessons/python_auth_security_tokens_permissions_v38.json	explanation	"""JWT payload에는 subject, role, expiration 같은 claim이 들어갈 수 있다. JWT는 서버가 서명한 토큰으로 사용자 정보와 만료 시간을 담을 수 있다. payload는 읽을 수 있으므로 비밀번호 같은 비밀값을 넣으면 안 된다. 따라서 정답은 ‘사용자 식별자’이다."""	"""sub(subject)는 토큰이 가리키는 주체의 식별자이며 이 예시에서는 사용자 u1이다. exp는 Unix 시간 기준 만료 시각이다. 서명된 JWT의 payload는 기본적으로 암호화되지 않으므로 비밀값을 넣지 말고, 서버는 서명뿐 아니라 허용 algorithm, issuer, audience, exp 같은 claim도 검증해야 한다."""
lesson	PY38_L08_jwt_001	PILOT_01	ko	data/lessons/python_auth_security_tokens_permissions_v38.json	reading_goal	"""JWT가 사용자 정보와 만료 시간 같은 claim을 담는 토큰 형식임을 이해한다."""	"""JWT payload의 sub·role·exp가 각각 무엇을 나타내며, payload가 암호화된 비밀 공간은 아니라는 점을 이해한다."""
lesson	PY38_L08_jwt_001	PILOT_01	en	data_i18n/en/lessons/python_auth_security_tokens_permissions_v38.json	code	"""JWT payload:\n{\n  \""sub\"": \""u1\"",\n  \""role\"": \""student\"",\n  \""exp\"": 1770000000\n}"""	"""JWT payload:\n{\n  \""sub\"": \""u1\"",\n  \""role\"": \""student\"",\n  \""exp\"": 1893456000\n}"""
lesson	PY38_L08_jwt_001	PILOT_01	en	data_i18n/en/lessons/python_auth_security_tokens_permissions_v38.json	explanation	"""A JWT payload can contain claims such as subject, role, and expiration. A JWT is a token signed by the server that can contain user information and an expiration time. Since the payload is readable, you should not include sensitive information such as passwords. Therefore, the correct answer is “user identifier.”"""	"""sub means subject and identifies the entity represented by the token, user u1 here. exp is an expiration time expressed as Unix time. A signed JWT payload is not encrypted by default, so do not put secrets in it. The server must validate the signature plus allowed algorithm, issuer, audience, exp, and other required claims."""
lesson	PY38_L08_jwt_001	PILOT_01	en	data_i18n/en/lessons/python_auth_security_tokens_permissions_v38.json	reading_goal	"""I understand that a JWT is a type of token that contains claims such as user information and expiration time."""	"""Understand what the `sub`, `role`, and `exp` claims in a JWT payload represent and that the payload is not an encrypted place for secrets."""
lesson	PY44_L08_json_mode_001	PILOT_01	ko	data/lessons/python_llm_api_prompt_validation_v44.json	concepts	"[""JSON_mode"", ""structured_response"", ""parser""]"	"[""JSON_output"", ""structured_response"", ""parser""]"
lesson	PY44_L08_json_mode_001	PILOT_01	ko	data/lessons/python_llm_api_prompt_validation_v44.json	explanation	"""JSON mode는 모델 출력이 앱에서 읽기 쉬운 구조화 형식이 되도록 유도하는 방식이다. UI, 검증기, 후처리 파이프라인이 답변을 안전하게 읽게 해준다. 구조가 고정되면 필드 누락이나 파싱 실패를 자동 검증하기도 쉬워진다. 따라서 정답은 ‘앱이 모델 출력을 안정적으로 파싱하기 위해’이다."""	"""JSON 형식으로 받으면 앱이 model_text를 dict 같은 구조로 바꿔 answer와 reason을 각각 사용할 수 있다. 따라서 주된 이유는 ‘앱이 모델 출력을 안정적으로 파싱하기 위해’이다. 하지만 프롬프트에 JSON을 요구했다고 해서 항상 올바른 JSON이 오는 것은 아니며, json.loads()가 성공해도 필수 필드가 있다는 뜻은 아니다. 파싱 오류 처리와 answer·reason 필드 검증을 따로 둬야 한다."""
lesson	PY44_L08_json_mode_001	PILOT_01	ko	data/lessons/python_llm_api_prompt_validation_v44.json	question	"""JSON mode를 쓰는 주된 이유는?"""	"""JSON 형식의 응답을 요구하는 주된 이유는?"""
lesson	PY44_L08_json_mode_001	PILOT_01	ko	data/lessons/python_llm_api_prompt_validation_v44.json	reading_goal	"""LLM이 사람이 읽는 문장 대신 JSON 형식으로 답하게 하는 이유를 이해한다."""	"""LLM 응답을 JSON으로 받아 파싱하는 단계와, 필요한 필드를 별도로 검증하는 단계를 구분한다."""
lesson	PY44_L08_json_mode_001	PILOT_01	ko	data/lessons/python_llm_api_prompt_validation_v44.json	title	"""JSON mode 읽기"""	"""JSON 형식 응답 읽기"""
lesson	PY44_L08_json_mode_001	PILOT_01	en	data_i18n/en/lessons/python_llm_api_prompt_validation_v44.json	code	"""prompt = 'Be sure to respond in JSON format: {\""answer\"": ..., \""reason\"": ...}' parsed = json.loads(model_text)"""	"""prompt = 'Be sure to respond in JSON format: {\""answer\"": ..., \""reason\"": ...}'\nparsed = json.loads(model_text)"""
lesson	PY44_L08_json_mode_001	PILOT_01	en	data_i18n/en/lessons/python_llm_api_prompt_validation_v44.json	concepts	"[""JSON_mode"", ""structured_response"", ""parser""]"	"[""JSON_output"", ""structured_response"", ""parser""]"
lesson	PY44_L08_json_mode_001	PILOT_01	en	data_i18n/en/lessons/python_llm_api_prompt_validation_v44.json	explanation	"""JSON mode is a method that ensures the model’s output is in a structured format that is easy for the app to read. It enables the UI, validators, and post-processing pipelines to safely read the responses. When the structure is fixed, it also becomes easier to automatically validate for missing fields or parsing failures. Therefore, the correct answer is “so that the app can reliably parse the model’s output.”"""	"""A JSON-formatted response lets the app convert `model_text` into a structure and use fields such as `answer` and `reason` separately. The main reason is therefore ‘To ensure the app can reliably parse the model's output.’ Merely asking for JSON does not guarantee valid JSON, and a successful `json.loads()` call does not prove that required fields exist. The app still needs parse-error handling and field validation."""
lesson	PY44_L08_json_mode_001	PILOT_01	en	data_i18n/en/lessons/python_llm_api_prompt_validation_v44.json	question	"""What is the main reason for using JSON mode?"""	"""What is the main reason to request a JSON-formatted response?"""
lesson	PY44_L08_json_mode_001	PILOT_01	en	data_i18n/en/lessons/python_llm_api_prompt_validation_v44.json	reading_goal	"""Understand why LLMs are configured to respond in JSON format rather than with sentences written for human readers."""	"""Distinguish parsing an LLM response as JSON from separately validating that the required fields are present."""
lesson	PY44_L08_json_mode_001	PILOT_01	en	data_i18n/en/lessons/python_llm_api_prompt_validation_v44.json	title	"""Reading in JSON mode"""	"""Reading a JSON-formatted response"""
lesson	PY16_L09_sentence_chunking_001	PILOT_01	ko	data/lessons/python_rag_kg_pipeline_review_v16.json	explanation	"""sentence chunking은 문장을 기준으로 텍스트를 나누는 방식이다. overlap을 넣으면 검색할 때 앞뒤 문맥이 끊기는 문제를 줄일 수 있다. overlap이 너무 작으면 문맥이 끊기고 너무 크면 중복이 많아져 검색 효율이 떨어질 수 있다. 따라서 반환/호출 결과는 ‘이전 chunk의 마지막 두 문장을 다음 chunk에도 겹치게 한다’이다."""	"""current[-2:]는 현재 목록의 마지막 두 문장만 새 목록으로 남긴다. 직전에 완성한 chunk의 끝 두 문장이 다음 chunk의 시작에도 들어가므로 정답은 ‘이전 chunk의 마지막 두 문장을 다음 chunk에도 겹치게 한다’이다. 이 overlap은 경계에서 문맥이 끊기는 일을 줄이지만, 너무 크면 같은 문장이 여러 검색 결과에 반복될 수 있다. 문장 경계 보존은 sentences가 미리 올바르게 분리되어 있다는 전제도 필요하다."""
lesson	PY16_L09_sentence_chunking_001	PILOT_01	ko	data/lessons/python_rag_kg_pipeline_review_v16.json	project_context	"""네가 고친 chunking 원칙인 문장 중간/단어 중간 split 금지와 직접 연결된다."""	"""문장 중간이나 단어 중간을 자르지 않고, 검색에 필요한 앞뒤 문맥을 일부 겹치는 chunking 원칙과 연결된다."""
lesson	PY16_L09_sentence_chunking_001	PILOT_01	en	data_i18n/en/lessons/python_rag_kg_pipeline_review_v16.json	explanation	"""Sentence chunking is a method of dividing text into chunks based on sentences. Introducing overlap can help reduce the problem of context being disrupted during a search. If the overlap is too small, the context is disrupted; if it is too large, there is excessive duplication, which can reduce search efficiency. Therefore, the return/call result is “the last two sentences of the previous chunk should overlap into the next chunk.”"""	"""`current[-2:]` creates a new list containing only the last two sentences currently stored. Those two sentences appeared at the end of the previous chunk and now also begin the next chunk, so the answer is ‘Ensure that the last two sentences of the previous chunk overlap with the next chunk.’ Overlap can preserve context at a boundary, but too much overlap repeats the same text across many search results. Preserving sentence boundaries also assumes that `sentences` was split correctly beforehand."""
lesson	PY16_L09_sentence_chunking_001	PILOT_01	en	data_i18n/en/lessons/python_rag_kg_pipeline_review_v16.json	project_context	"""This is directly related to your revised chunking principle—the prohibition against splitting in the middle of a sentence or in the middle of a word."""	"""This connects to a chunking rule that avoids splitting in the middle of a sentence or word while retaining a small amount of neighboring context."""
lesson	PY44_L10_tool_calling_001	PILOT_01	ko	data/lessons/python_llm_api_prompt_validation_v44.json	code	"""tools = [search_docs, solve_math, get_profile]\n\nmodel decides:\n  call search_docs(query)"""	"""tools = [search_docs, solve_math, get_profile]\n\nmodel requests:\n  tool_name = \""search_docs\""\n  arguments = {\""query\"": question}\n\napp validates and runs the tool"""
lesson	PY44_L10_tool_calling_001	PILOT_01	ko	data/lessons/python_llm_api_prompt_validation_v44.json	explanation	"""도구 호출은 검색, 계산, DB 조회처럼 모델 혼자 하기 어려운 작업을 연결한다. tool calling은 모델이 외부 도구를 호출하도록 만드는 흐름이다. 도구 이름, 입력 스키마, 호출 결과를 다시 모델 응답에 반영하는 단계를 확인해야 한다."""	"""model은 tool_name과 arguments를 제안하고 application이 실제 실행 여부를 결정한다. 앱은 server-side allowlist, argument schema, 현재 사용자의 권한, resource 범위와 rate limit을 확인해야 한다. 쓰기·결제 같은 side effect에는 확인과 idempotency를 두고, tool 결과도 untrusted input으로 취급해 prompt injection과 민감정보 노출을 막는다."""
lesson	PY44_L10_tool_calling_001	PILOT_01	ko	data/lessons/python_llm_api_prompt_validation_v44.json	reading_goal	"""LLM이 직접 계산하지 않고 외부 도구 호출을 선택하는 구조를 이해한다."""	"""LLM이 도구 이름과 입력값을 구조화해 요청하고, 애플리케이션이 검증·실행한 결과를 다시 전달하는 흐름을 이해한다."""
lesson	PY44_L10_tool_calling_001	PILOT_01	en	data_i18n/en/lessons/python_llm_api_prompt_validation_v44.json	answer	"""Structuring and making requests for external function calls that require a model"""	"""A model makes a structured request to use a needed external function"""
lesson	PY44_L10_tool_calling_001	PILOT_01	en	data_i18n/en/lessons/python_llm_api_prompt_validation_v44.json	choices	"[""Structuring and making requests for external function calls that require a model"", ""Running all tools at the same time, every time"", ""Writing long answers without doing any research"", ""Hiding file extensions""]"	"[""A model makes a structured request to use a needed external function"", ""Running all tools at the same time, every time"", ""Writing long answers without doing any research"", ""Hiding file extensions""]"
lesson	PY44_L10_tool_calling_001	PILOT_01	en	data_i18n/en/lessons/python_llm_api_prompt_validation_v44.json	code	"""tools = [search_docs, solve_math, get_profile]\n\nmodel decides:\n  call search_docs(query)"""	"""tools = [search_docs, solve_math, get_profile]\n\nmodel requests:\n  tool_name = \""search_docs\""\n  arguments = {\""query\"": question}\n\napp validates and runs the tool"""
lesson	PY44_L10_tool_calling_001	PILOT_01	en	data_i18n/en/lessons/python_llm_api_prompt_validation_v44.json	explanation	"""Tool calling connects tasks that are difficult for a model to perform on its own, such as searching, calculations, and database queries. Tool calling is a process that enables a model to invoke external tools. You must verify the tool name, input schema, and the steps for incorporating the call results back into the model’s response."""	"""The model proposes a tool name and arguments; the application decides whether to execute them. Enforce a server-side allowlist, argument schema, current-user authorization, resource scope, and rate limits. Confirm consequential side effects, use idempotency where applicable, and treat tool output as untrusted input to prevent injection and sensitive-data exposure."""
lesson	PY44_L10_tool_calling_001	PILOT_01	en	data_i18n/en/lessons/python_llm_api_prompt_validation_v44.json	reading_goal	"""Understand the architecture in which an LLM chooses to call external tools rather than performing calculations itself."""	"""Understand the flow in which an LLM requests a tool name and arguments, then the application validates and executes the tool and returns its result."""
lesson	PY16_L10_node_pass_001	PILOT_01	ko	data/lessons/python_rag_kg_pipeline_review_v16.json	answer	"""기존 노드 목록을 참고해 후보 추출 recall을 높이기 위해"""	"""후보가 기존 노드와 같은 개념이나 별칭인지 비교하기 위해"""
lesson	PY16_L10_node_pass_001	PILOT_01	ko	data/lessons/python_rag_kg_pipeline_review_v16.json	choices	"[""기존 노드 목록을 참고해 후보 추출 recall을 높이기 위해"", ""텍스트를 삭제하기 위해"", ""JSON을 CSV로 바꾸기 위해"", ""서버 포트를 바꾸기 위해""]"	"[""후보가 기존 노드와 같은 개념이나 별칭인지 비교하기 위해"", ""텍스트를 삭제하기 위해"", ""JSON을 CSV로 바꾸기 위해"", ""서버 포트를 바꾸기 위해""]"
lesson	PY16_L10_node_pass_001	PILOT_01	ko	data/lessons/python_rag_kg_pipeline_review_v16.json	explanation	"""node pass는 문서에서 후보 노드를 넓게 찾는 단계다. 기존 catalog를 참고하면 이미 정의된 개념과 새 후보를 함께 비교할 수 있다. known_nodes가 있으면 새 노드 후보가 기존 노드의 별칭인지 완전히 새 개념인지 판단하기 쉽다."""	"""node pass는 chunk의 text에서 노드 후보를 찾는 단계다. known_nodes로 기존 catalog를 함께 주면 추출한 표현이 기존 노드와 같은 개념인지, 별칭인지, 새 후보인지 비교하기 쉬워진다. 따라서 정답은 ‘후보가 기존 노드와 같은 개념이나 별칭인지 비교하기 위해’이다. 다만 known_nodes에 없는 표현도 새 후보로 남길 수 있어야 하며, 목록에 있는 항목만 고르게 제한하면 새로운 노드를 놓칠 수 있다."""
lesson	PY16_L10_node_pass_001	PILOT_01	ko	data/lessons/python_rag_kg_pipeline_review_v16.json	project_context	"""네가 확정한 Node pass와 Edge pass 분리 원칙 중 Node pass 쪽에 해당한다."""	"""노드 후보를 먼저 식별·정규화한 뒤, 확정된 노드 사이의 관계를 Edge pass에서 추출하는 분리 원칙 중 첫 단계다."""
lesson	PY16_L10_node_pass_001	PILOT_01	ko	data/lessons/python_rag_kg_pipeline_review_v16.json	question	"""known_nodes에 node_catalog를 넣는 이유는?"""	"""known_nodes에 node_catalog를 함께 넣는 가장 직접적인 이유는?"""
lesson	PY16_L10_node_pass_001	PILOT_01	en	data_i18n/en/lessons/python_rag_kg_pipeline_review_v16.json	answer	"""To improve recall when extracting candidates by referring to the list of existing nodes,"""	"""To compare each candidate with existing nodes and aliases"""
