level	file	id	title	reading_goal	code	question	answer	explanation	project_context	question_type	concepts
3	python_core_gaps_v99_a1.json	PYV99_A1_GAP_011_LIST_POP_LAST	pop으로 마지막 값 꺼내기	pop이 마지막 값을 돌려주고 리스트에서도 제거하는 흐름을 읽는다.	"items = [""A"", ""B"", ""C""]\nvalue = items.pop()\nprint(value)\nprint(items)"	출력 결과로 맞는 것은?	C\n['A', 'B']	pop()은 마지막 원소 C를 리스트에서 제거하면서 그 값을 반환한다. 그래서 첫 print는 C, 둘째 print는 변경된 ['A', 'B']를 출력한다. 빈 리스트에서 pop()을 호출하면 IndexError가 나므로 원소 존재를 전제로 하는 코드인지 확인해야 한다.	작업 큐나 임시 목록에서 하나씩 꺼내 처리하는 코드와 연결된다.	output_prediction	"[""print"",""list"",""pop"",""mutation""]"
3	python_core_gaps_v99_a1.json	PYV99_A1_GAP_012_LIST_POP_INDEX	pop(0)으로 첫 값 꺼내기	pop에 위치를 넣으면 해당 위치의 값을 꺼내는 흐름을 읽는다.	"items = [""A"", ""B"", ""C""]\nvalue = items.pop(0)\nprint(value)\nprint(items)"	출력 결과로 맞는 것은?	A\n['B', 'C']	pop(0)은 인덱스 0의 A를 제거하고 반환한다. 남은 B와 C가 앞으로 이동해 리스트는 ['B', 'C']가 되므로 두 출력은 A와 그 리스트다. 범위를 벗어난 인덱스는 IndexError를 내며, 큰 리스트의 앞 원소를 반복 제거하는 작업은 비용이 클 수 있다.	목록 앞에서부터 하나씩 처리하는 코드에서 만날 수 있다.	output_prediction	"[""print"",""list"",""pop"",""index""]"
3	python_core_gaps_v99_a1.json	PYV99_A1_GAP_013_DICT_SETDEFAULT_EXISTING	setdefault는 기존 key를 덮어쓰지 않는다	setdefault가 key가 이미 있을 때 기존 값을 유지하는 흐름을 읽는다.	"counts = {""a"": 2}\nvalue = counts.setdefault(""a"", 0)\nprint(value)\nprint(counts[""a""])"	출력 결과로 맞는 것은?	2\n2	setdefault는 key가 없을 때만 기본값을 넣고, 이미 있으면 기존 값을 유지한다. 이 예제에서는 a key가 이미 있으므로 새 기본값을 덮어쓰지 않고 기존 값 2를 반환한다. counts['a']도 2로 유지된다. 이 메서드는 딕셔너리 누적이나 그룹 만들기에서 자주 쓰인다. 대괄호 대입처럼 무조건 바꾸는 것이 아니라 없을 때만 채운다는 점이 핵심이다. 따라서 출력은 차례대로 ‘2’, ‘2’이다. 보기 표현으로는 ‘2\n2’이 맞다.	그룹별 누적 계산에서 기본값을 안전하게 준비할 때 쓰인다.	output_prediction	"[""print"",""dict"",""setdefault"",""default""]"
3	python_core_gaps_v99_a1.json	PYV99_A1_GAP_014_DICT_SETDEFAULT_MISSING	setdefault는 없는 key에 기본값을 넣는다	setdefault가 없는 key에 기본값을 넣고 이후 값을 바꾸는 흐름을 읽는다.	"counts = {}\ncounts.setdefault(""a"", 0)\ncounts[""a""] += 1\nprint(counts[""a""])"	출력 결과는?	1	처음에는 a key가 없어서 기본값 0이 들어간다. 그 다음 1을 더하므로 counts['a']는 1이 된다. setdefault는 dict에 key가 없을 때 기본값을 넣고 그 값을 돌려준다. 중첩 목록을 만들 때 초기화 코드를 줄이는 데 유용하다. dict는 먼저 사용한 key를 확인하고 그 key에 연결된 value가 읽히는지, 새 값으로 바뀌는지, 반복 대상으로 쓰이는지를 순서대로 보면 결과를 정확히 추적할 수 있다.	처음 보는 key를 자동으로 준비한 뒤 개수를 세는 코드와 연결된다.	output_prediction	"[""print"",""dict"",""setdefault"",""default""]"
3	python_core_gaps_v99_a1.json	PYV99_A1_GAP_015_DICT_POP_REMOVE	dict.pop으로 key 제거하기	dict.pop이 값을 꺼내고 dict에서 key를 제거하는 흐름을 읽는다.	"row = {""id"": 1, ""temp"": 99}\nremoved = row.pop(""temp"")\nprint(removed)\nprint(""temp"" in row)"	출력 결과로 맞는 것은?	99\nFalse	row.pop('temp')는 value 99를 반환하면서 temp key를 dict에서 제거한다. 따라서 두 출력은 99와 False다. key가 없으면 기본값을 주지 않은 pop은 KeyError를 내므로 선택 key에는 row.pop('temp', default) 같은 계약을 정할 수 있다.	불필요한 임시 필드를 제거하며 값을 따로 저장할 때 쓴다.	output_prediction	"[""print"",""dict"",""pop"",""key""]"
3	python_core_gaps_v99_a1.json	PYV99_A1_GAP_016_SET_DISCARD_SAFE	discard는 없어도 오류 없이 제거를 시도한다	discard가 set에 없는 값을 제거하려 해도 오류를 내지 않는 흐름을 읽는다.	"seen = {""a"", ""b""}\nseen.discard(""c"")\nprint(sorted(seen))"	출력 결과는?	['a', 'b']	discard는 set에서 값을 제거하려고 시도하지만, 대상 값이 없어도 오류를 내지 않는다. 이 예제에서 c는 seen에 없으므로 set 내용은 그대로 유지된다. remove는 없는 값을 지우려 하면 오류가 날 수 있지만 discard는 조용히 넘어간다. 그래서 이미 있을 수도 있고 없을 수도 있는 값을 안전하게 정리할 때 discard를 쓰면 흐름이 끊기지 않는다. 따라서 출력은 ‘['a', 'b']’이다.	이미 처리한 항목 목록에서 안전하게 제외할 때 discard를 쓸 수 있다.	output_prediction	"[""print"",""set"",""discard"",""remove""]"
3	python_core_gaps_v99_a1.json	PYV99_A1_GAP_017_SET_INTERSECTION	intersection으로 공통값 찾기	intersection이 두 set에 모두 있는 값을 찾는 흐름을 읽는다.	"a = {""a"", ""b""}\nb = {""b"", ""c""}\nprint(sorted(a.intersection(b)))"	출력 결과는?	['b']	a와 b 두 set에 모두 들어 있는 값은 b뿐이다. sorted를 사용해 출력 순서를 안정적으로 만든다. intersection은 두 set에 공통으로 들어 있는 값만 골라낸다. 태그 겹침, 공통 사용자, 공통 파일 확장자처럼 교집합을 볼 때 쓴다.	두 태그 목록의 공통 항목을 찾을 때 쓴다.	output_prediction	"[""print"",""set"",""intersection"",""sorted""]"
3	python_core_gaps_v99_a1.json	PYV99_A1_GAP_018_SET_DIFFERENCE	difference로 왼쪽에만 있는 값 찾기	difference가 왼쪽 set에만 있는 값을 찾는 흐름을 읽는다.	"a = {""a"", ""b""}\nb = {""b"", ""c""}\nprint(sorted(a.difference(b)))"	출력 결과는?	['a']	a.difference(b)는 a에는 있지만 b에는 없는 값만 모은다. 이 예제에서 왼쪽 집합 a에만 있는 값은 a뿐이다. difference는 방향이 중요하므로 a.difference(b)와 b.difference(a)의 결과가 서로 다를 수 있다. 집합 차이는 누락 항목, 새 항목, 남은 작업 목록을 비교할 때 유용하다. 어떤 집합을 기준으로 빼는지 먼저 확인해야 한다.	이미 가진 항목과 새 항목의 차이를 찾을 때 쓰인다.	output_prediction	"[""print"",""set"",""difference"",""sorted""]"
3	python_core_gaps_v99_a1.json	PYV99_A1_GAP_019_SET_COMPREHENSION	set comprehension으로 중복 없는 새 set 만들기	set comprehension이 반복 결과를 중복 없는 set으로 만드는 흐름을 읽는다.	nums = [1, 2, 2, 3]\nsquares = {n * n for n in nums}\nprint(sorted(squares))	출력 결과는?	[1, 4, 9]	각 숫자를 제곱하면 1, 4, 4, 9가 되지만 set은 중복을 제거하므로 1, 4, 9만 남는다. set comprehension은 반복 결과를 set으로 모아 중복을 제거한다. 리스트 컴프리헨션과 비슷하지만 결과가 순서보다 유일한 값 중심이라는 점을 기억해야 한다.	중복 없는 변환 결과를 만들 때 set comprehension을 사용할 수 있다.	output_prediction	"[""print"",""set comprehension"",""set"",""for""]"
3	python_core_gaps_v99_a1.json	PYV99_A1_GAP_020_READLINE_READLINES	readline 다음 readlines 읽기	readline으로 첫 줄을 읽은 뒤 readlines가 남은 줄들을 리스트로 읽는 흐름을 확인한다.	"# memo.txt 내용:\n# A\n# B\nwith open(""memo.txt"", ""r"", encoding=""utf-8"") as f:\n    first = f.readline().strip()\n    rest = f.readlines()\nprint(first)\nprint(len(rest))"	출력 결과로 맞는 것은?	A\n1	readline()이 첫 줄 'A\n'을 읽으면서 파일 위치를 다음 줄로 옮긴다. 이어지는 readlines()는 처음부터 다시 시작하지 않고 남은 B 한 줄만 읽으므로 first는 A, len(rest)는 1이다. strip()은 개행뿐 아니라 양끝 공백도 제거한다는 점도 함께 구분한다. 파일 코드는 경로를 만드는 단계, 파일을 여는 단계, 내용을 읽거나 쓰는 단계를 따로 나누어 보면 각 변수에 무엇이 들어가는지와 마지막 결과를 놓치지 않는다.	헤더 한 줄을 먼저 읽고 나머지 데이터를 처리하는 파일 파이프라인과 연결된다.	output_prediction	"[""comment"",""print"",""open"",""readline"",""readlines"",""strip""]"
