rank	score	review_class	file	index	id	title	answer	question	detail	priority_reason	review_note	explanation
11	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level3_v95_a2_dict_tuple_set.json	17	PYF95_A2_DTS_017_TUPLE_INDEX	tuple 인덱스로 값 읽기	결과는 3이다	출력 결과는?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	point[0]은 첫 번째 값 3이다. 이 문제는 Level 3에서 자료구조의 모양과 접근 방식을 분리해서 읽는 연습이다. dict는 key로 value를 찾고, tuple은 순서가 있는 묶음이며, set은 중복 없는 값 모음이다. 정답을 고를 때는 코드가 값을 새로 만드는지, 기존 값을 바꾸는지, key로 꺼내는지, 반복문으로 key와 value를 함께 읽는지 확인해야 한다. 특히 대괄호 접근, get 기본값, keys와 values와 items의 차이, tuple unpacking, set의 중복 제거를 실제 실행 순서대로 따라간다.
12	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level3_v95_a2_dict_tuple_set.json	21	PYF95_A2_DTS_021_ITEMS_UNPACK_TUPLE	items 결과를 unpacking하기	x 다음 1	출력 순서로 맞는 것은?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	key는 x, value는 1이다. 이 문제는 Level 3에서 자료구조의 모양과 접근 방식을 분리해서 읽는 연습이다. dict는 key로 value를 찾고, tuple은 순서가 있는 묶음이며, set은 중복 없는 값 모음이다. 정답을 고를 때는 코드가 값을 새로 만드는지, 기존 값을 바꾸는지, key로 꺼내는지, 반복문으로 key와 value를 함께 읽는지 확인해야 한다. 특히 대괄호 접근, get 기본값, keys와 values와 items의 차이, tuple unpacking, set의 중복 제거를 실제 실행 순서대로 따라간다.
13	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level3_v95_a3_loop_tools.json	2	PYF95_A3_LOOP_002_WHILE_FALSE_START	처음부터 False인 while	아무것도 출력되지 않음	출력 결과는?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	처음 i는 5이고 5 < 3은 False이므로 본문이 실행되지 않는다. 이 문제는 Level 3에서 반복 흐름과 반복 보조 도구를 실제 실행 순서대로 읽는 연습이다. while은 조건이 True인 동안 반복하고, break는 반복문을 끝내며, continue는 현재 반복의 남은 줄을 건너뛴다. sorted, reversed, enumerate, zip은 반복 순서나 반복 변수의 모양을 바꾸므로 현재 반복에서 변수에 어떤 값이 들어가는지 먼저 확인해야 한다.
14	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level3_v95_a3_loop_tools.json	4	PYF95_A3_LOOP_004_WHILE_LIST_INDEX	while로 리스트 인덱스 읽기	a 다음 b	출력 순서로 맞는 것은?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	i가 0일 때 a, 1일 때 b가 출력된다. 이 문제는 Level 3에서 반복 흐름과 반복 보조 도구를 실제 실행 순서대로 읽는 연습이다. while은 조건이 True인 동안 반복하고, break는 반복문을 끝내며, continue는 현재 반복의 남은 줄을 건너뛴다. sorted, reversed, enumerate, zip은 반복 순서나 반복 변수의 모양을 바꾸므로 현재 반복에서 변수에 어떤 값이 들어가는지 먼저 확인해야 한다.
15	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level3_v95_a3_loop_tools.json	6	PYF95_A3_LOOP_006_BREAK_AT_THREE	break로 반복 중단	1 다음 2	출력 순서로 맞는 것은?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	n이 3이 되면 break가 실행되어 3과 4는 출력되지 않는다. 이 문제는 Level 3에서 반복 흐름과 반복 보조 도구를 실제 실행 순서대로 읽는 연습이다. while은 조건이 True인 동안 반복하고, break는 반복문을 끝내며, continue는 현재 반복의 남은 줄을 건너뛴다. sorted, reversed, enumerate, zip은 반복 순서나 반복 변수의 모양을 바꾸므로 현재 반복에서 변수에 어떤 값이 들어가는지 먼저 확인해야 한다.
16	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level3_v95_a3_loop_tools.json	8	PYF95_A3_LOOP_008_CONTINUE_SKIP_EVEN	continue로 짝수 건너뛰기	1 다음 3	출력 순서로 맞는 것은?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	짝수 2와 4에서는 continue 때문에 print가 실행되지 않는다. 이 문제는 Level 3에서 반복 흐름과 반복 보조 도구를 실제 실행 순서대로 읽는 연습이다. while은 조건이 True인 동안 반복하고, break는 반복문을 끝내며, continue는 현재 반복의 남은 줄을 건너뛴다. sorted, reversed, enumerate, zip은 반복 순서나 반복 변수의 모양을 바꾸므로 현재 반복에서 변수에 어떤 값이 들어가는지 먼저 확인해야 한다.
17	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level3_v95_a3_loop_tools.json	9	PYF95_A3_LOOP_009_CONTINUE_SKIP_EMPTY	빈 문자열 건너뛰기	a 다음 b	출력 순서로 맞는 것은?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	빈 문자열 반복에서는 print가 실행되지 않으므로 a와 b만 출력된다. 이 문제는 Level 3에서 반복 흐름과 반복 보조 도구를 실제 실행 순서대로 읽는 연습이다. while은 조건이 True인 동안 반복하고, break는 반복문을 끝내며, continue는 현재 반복의 남은 줄을 건너뛴다. sorted, reversed, enumerate, zip은 반복 순서나 반복 변수의 모양을 바꾸므로 현재 반복에서 변수에 어떤 값이 들어가는지 먼저 확인해야 한다.
18	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level3_v95_a3_loop_tools.json	10	PYF95_A3_LOOP_010_WHILE_BREAK	while 안 break	0 다음 1	출력 순서로 맞는 것은?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	i가 2가 되면 break가 먼저 실행되어 2는 출력되지 않는다. 이 문제는 Level 3에서 반복 흐름과 반복 보조 도구를 실제 실행 순서대로 읽는 연습이다. while은 조건이 True인 동안 반복하고, break는 반복문을 끝내며, continue는 현재 반복의 남은 줄을 건너뛴다. sorted, reversed, enumerate, zip은 반복 순서나 반복 변수의 모양을 바꾸므로 현재 반복에서 변수에 어떤 값이 들어가는지 먼저 확인해야 한다.
19	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level3_v95_a3_loop_tools.json	14	PYF95_A3_LOOP_014_SORT_METHOD_MUTATES	sort는 원본 리스트를 바꾼다	[1, 2, 3]	출력 결과는?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	nums.sort()는 nums 자체를 정렬한다. 이 문제는 Level 3에서 반복 흐름과 반복 보조 도구를 실제 실행 순서대로 읽는 연습이다. while은 조건이 True인 동안 반복하고, break는 반복문을 끝내며, continue는 현재 반복의 남은 줄을 건너뛴다. sorted, reversed, enumerate, zip은 반복 순서나 반복 변수의 모양을 바꾸므로 현재 반복에서 변수에 어떤 값이 들어가는지 먼저 확인해야 한다.
20	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level3_v95_a3_loop_tools.json	30	PYF95_A3_LOOP_030_SORTED_SET	set을 sorted로 정렬해 보기	['a', 'b']	출력 결과로 맞는 것은?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	sorted(tags)는 정렬된 리스트를 돌려준다. 이 문제는 Level 3에서 반복 흐름과 반복 보조 도구를 실제 실행 순서대로 읽는 연습이다. while은 조건이 True인 동안 반복하고, break는 반복문을 끝내며, continue는 현재 반복의 남은 줄을 건너뛴다. sorted, reversed, enumerate, zip은 반복 순서나 반복 변수의 모양을 바꾸므로 현재 반복에서 변수에 어떤 값이 들어가는지 먼저 확인해야 한다.
21	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level3_v95_a4_file_exception_path.json	2	PYF95_A4_FILE_002_READLINE_FIRST	첫 줄 읽기	'A'가 출력된다	출력 결과는?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	readline은 첫 줄 A를 읽고 strip으로 줄바꿈을 제거한다. 이 문제는 Level 3에서 파일 처리, 경로 처리, 예외 처리의 실행 흐름을 읽는 연습이다. open과 with는 파일을 여는 방식이고, read와 write는 내용을 읽거나 쓰는 동작이다. pathlib Path는 경로를 부품처럼 다루게 해 주며, try/except는 실패할 수 있는 코드의 정상 흐름과 오류 흐름을 나누어 준다. 정답은 코드가 파일을 읽는지 쓰는지, 오류가 발생하는지, except가 실행되는지, Path 속성이 어떤 부분을 가리키는지를 기준으로 고른다.
22	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level3_v95_a4_file_exception_path.json	6	PYF95_A4_FILE_006_WRITE_RETURN_COUNT	write 반환값	결과는 2이다	출력 결과는?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	문자열 hi의 길이는 2이므로 write 반환값 n은 2다. 이 문제는 Level 3에서 파일 처리, 경로 처리, 예외 처리의 실행 흐름을 읽는 연습이다. open과 with는 파일을 여는 방식이고, read와 write는 내용을 읽거나 쓰는 동작이다. pathlib Path는 경로를 부품처럼 다루게 해 주며, try/except는 실패할 수 있는 코드의 정상 흐름과 오류 흐름을 나누어 준다. 정답은 코드가 파일을 읽는지 쓰는지, 오류가 발생하는지, except가 실행되는지, Path 속성이 어떤 부분을 가리키는지를 기준으로 고른다.
23	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level3_v95_a4_file_exception_path.json	18	PYF95_A4_FILE_018_TRY_EXCEPT_NO_ERROR	오류가 없을 때 except 건너뛰기	결과는 3이다	출력 결과는?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	int('3')은 성공하므로 3이 출력되고 except는 실행되지 않는다. 이 문제는 Level 3에서 파일 처리, 경로 처리, 예외 처리의 실행 흐름을 읽는 연습이다. open과 with는 파일을 여는 방식이고, read와 write는 내용을 읽거나 쓰는 동작이다. pathlib Path는 경로를 부품처럼 다루게 해 주며, try/except는 실패할 수 있는 코드의 정상 흐름과 오류 흐름을 나누어 준다. 정답은 코드가 파일을 읽는지 쓰는지, 오류가 발생하는지, except가 실행되는지, Path 속성이 어떤 부분을 가리키는지를 기준으로 고른다.
24	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level3_v95_a4_file_exception_path.json	22	PYF95_A4_FILE_022_SAFE_INT_FUNCTION	safe_int 함수 읽기	결과는 0이다	출력 결과는?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	int('x')가 실패하므로 except에서 return 0이 실행된다. 이 문제는 Level 3에서 파일 처리, 경로 처리, 예외 처리의 실행 흐름을 읽는 연습이다. open과 with는 파일을 여는 방식이고, read와 write는 내용을 읽거나 쓰는 동작이다. pathlib Path는 경로를 부품처럼 다루게 해 주며, try/except는 실패할 수 있는 코드의 정상 흐름과 오류 흐름을 나누어 준다. 정답은 코드가 파일을 읽는지 쓰는지, 오류가 발생하는지, except가 실행되는지, Path 속성이 어떤 부분을 가리키는지를 기준으로 고른다.
25	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level3_v95_a4_file_exception_path.json	23	PYF95_A4_FILE_023_SAFE_INT_SUCCESS	safe_int 정상 변환	결과는 7이다	출력 결과는?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	int('7')은 성공하므로 7이 return 된다. 이 문제는 Level 3에서 파일 처리, 경로 처리, 예외 처리의 실행 흐름을 읽는 연습이다. open과 with는 파일을 여는 방식이고, read와 write는 내용을 읽거나 쓰는 동작이다. pathlib Path는 경로를 부품처럼 다루게 해 주며, try/except는 실패할 수 있는 코드의 정상 흐름과 오류 흐름을 나누어 준다. 정답은 코드가 파일을 읽는지 쓰는지, 오류가 발생하는지, except가 실행되는지, Path 속성이 어떤 부분을 가리키는지를 기준으로 고른다.
26	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level3_v95_a4_file_exception_path.json	28	PYF95_A4_FILE_028_JSON_FILE_FLOW	파일에서 JSON 읽기 흐름	읽은 항목 개수인 3	출력 결과는?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	파일 내용 문자열이 dict로 바뀌고 level 값 3이 출력된다. 이 문제는 Level 3에서 파일 처리, 경로 처리, 예외 처리의 실행 흐름을 읽는 연습이다. open과 with는 파일을 여는 방식이고, read와 write는 내용을 읽거나 쓰는 동작이다. pathlib Path는 경로를 부품처럼 다루게 해 주며, try/except는 실패할 수 있는 코드의 정상 흐름과 오류 흐름을 나누어 준다. 정답은 코드가 파일을 읽는지 쓰는지, 오류가 발생하는지, except가 실행되는지, Path 속성이 어떤 부분을 가리키는지를 기준으로 고른다.
27	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level4_v95_a5_oop_basics.json	6	PYF95_A5_OOP_006_INIT_TWO_OBJECTS	두 object의 attribute 구분	A 다음 B	출력 순서로 맞는 것은?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	a.name은 A이고 b.name은 B다. 이 문제는 Level 4에서 객체지향 기초 코드를 실행 순서대로 읽는 연습이다. class는 설계도이고 object는 class를 호출해서 만든 실제 값이다. self는 method가 실행되는 현재 object를 가리키며, __init__은 object가 만들어질 때 attribute를 준비하는 특별한 method다. 정답을 고를 때는 class 정의만 보고 바로 실행된다고 생각하지 말고, object 생성 줄, attribute 대입, method 호출, return 또는 print 흐름을 차례대로 따라가야 한다.
