rank	file	index	id	title	answer	final_sentence	changed	old_explanation	new_explanation
11	data/lessons/python_foundation_expansion_v10.json	28	PY10_L07_env_get_001	환경변수 기본값 읽기	100	따라서 출력은 ‘100’이다.	YES	환경변수는 실행 환경에서 값을 가져올 때 사용한다. os.environ.get의 두 번째 인자는 해당 환경변수가 없을 때 쓸 기본값이다. 그래서 RUN_LIMIT이 설정되지 않았을 때도 코드가 멈추지 않고 기본 제한값으로 실행될 수 있다.	환경변수는 실행 환경에서 값을 가져올 때 사용한다. os.environ.get의 두 번째 인자는 해당 환경변수가 없을 때 쓸 기본값이다. 그래서 RUN_LIMIT이 설정되지 않았을 때도 코드가 멈추지 않고 기본 제한값으로 실행될 수 있다. 따라서 출력은 ‘100’이다.
12	data/lessons/python_foundation_expansion_v10.json	43	PY10_L08_fstring_status_001	f-string 상태문 읽기	3/10 done	따라서 출력은 ‘3/10 done’이다.	YES	f-string은 문자열 안에 변수 값을 바로 넣을 수 있는 문법이다. done과 total 값이 중괄호 위치에 들어가 상태 문장이 만들어진다. 반복 작업의 진행률이나 상태 로그를 만들 때 f-string을 쓰면 변수 값을 읽기 좋게 섞을 수 있다.	f-string은 문자열 안에 변수 값을 바로 넣을 수 있는 문법이다. done과 total 값이 중괄호 위치에 들어가 상태 문장이 만들어진다. 반복 작업의 진행률이나 상태 로그를 만들 때 f-string을 쓰면 변수 값을 읽기 좋게 섞을 수 있다. 따라서 출력은 ‘3/10 done’이다.
13	data/lessons/python_foundation_level2_v94_a2_part1.json	8	PYF94_A2_L02_IF_008	and 조건	ok	따라서 정답은 ‘ok’이다.	YES	age >= 10도 True이고 score >= 80도 True이므로 and 전체 조건이 True가 된다. 이 문제는 Level 2에서 조건문이나 리스트 상태를 직접 추적하는 연습이다. 정답은 보기의 익숙한 단어가 아니라, 변수 값과 실행 흐름이 실제로 만든 결과다. 특히 and에서 한쪽만 보면 된다고 생각하는 부분을 조심해야 한다. 비슷한 코드를 만났을 때도 먼저 변수에 저장된 값, 비교식의 True/False 결과, 들여쓰기된 블록의 실행 여부, 리스트에 들어 있는 현재 값을 순서대로 확인하면 안전하게 판단할 수 있다. 이 독해 습관은 나중에 필터링, 검색 결과 처리, 사용자 입력 검증, 데이터 목록 처리 코드로 그대로 이어진다.	age >= 10도 True이고 score >= 80도 True이므로 and 전체 조건이 True가 된다. 이 문제는 Level 2에서 조건문이나 리스트 상태를 직접 추적하는 연습이다. 정답은 보기의 익숙한 단어가 아니라, 변수 값과 실행 흐름이 실제로 만든 결과다. 특히 and에서 한쪽만 보면 된다고 생각하는 부분을 조심해야 한다. 비슷한 코드를 만났을 때도 먼저 변수에 저장된 값, 비교식의 True/False 결과, 들여쓰기된 블록의 실행 여부, 리스트에 들어 있는 현재 값을 순서대로 확인하면 안전하게 판단할 수 있다. 이 독해 습관은 나중에 필터링, 검색 결과 처리, 사용자 입력 검증, 데이터 목록 처리 코드로 그대로 이어진다. 따라서 정답은 ‘ok’이다.
14	data/lessons/python_foundation_level2_v94_a2_part1.json	12	PYF94_A2_L02_IF_012	조건 전 변수 변경	pass	따라서 정답은 ‘pass’이다.	YES	score = score + 20 이후 score는 70이므로 score >= 60 조건이 True가 된다. 이 문제는 Level 2에서 조건문이나 리스트 상태를 직접 추적하는 연습이다. 정답은 보기의 익숙한 단어가 아니라, 변수 값과 실행 흐름이 실제로 만든 결과다. 특히 처음 score 50만 보고 조건을 False로 판단하는 부분을 조심해야 한다. 비슷한 코드를 만났을 때도 먼저 변수에 저장된 값, 비교식의 True/False 결과, 들여쓰기된 블록의 실행 여부, 리스트에 들어 있는 현재 값을 순서대로 확인하면 안전하게 판단할 수 있다. 이 독해 습관은 나중에 필터링, 검색 결과 처리, 사용자 입력 검증, 데이터 목록 처리 코드로 그대로 이어진다.	score = score + 20 이후 score는 70이므로 score >= 60 조건이 True가 된다. 이 문제는 Level 2에서 조건문이나 리스트 상태를 직접 추적하는 연습이다. 정답은 보기의 익숙한 단어가 아니라, 변수 값과 실행 흐름이 실제로 만든 결과다. 특히 처음 score 50만 보고 조건을 False로 판단하는 부분을 조심해야 한다. 비슷한 코드를 만났을 때도 먼저 변수에 저장된 값, 비교식의 True/False 결과, 들여쓰기된 블록의 실행 여부, 리스트에 들어 있는 현재 값을 순서대로 확인하면 안전하게 판단할 수 있다. 이 독해 습관은 나중에 필터링, 검색 결과 처리, 사용자 입력 검증, 데이터 목록 처리 코드로 그대로 이어진다. 따라서 정답은 ‘pass’이다.
15	data/lessons/python_foundation_level2_v94_a2_part1.json	14	PYF94_A2_L02_IF_014	문자열 숫자와 숫자 비교	different	따라서 정답은 ‘different’이다.	YES	"""10""은 문자열이고 10은 숫자이므로 == 비교 결과는 False가 된다. 이 문제는 Level 2에서 조건문이나 리스트 상태를 직접 추적하는 연습이다. 정답은 보기의 익숙한 단어가 아니라, 변수 값과 실행 흐름이 실제로 만든 결과다. 특히 화면에 비슷해 보이면 같은 값이라고 판단하는 부분을 조심해야 한다. 비슷한 코드를 만났을 때도 먼저 변수에 저장된 값, 비교식의 True/False 결과, 들여쓰기된 블록의 실행 여부, 리스트에 들어 있는 현재 값을 순서대로 확인하면 안전하게 판단할 수 있다. 이 독해 습관은 나중에 필터링, 검색 결과 처리, 사용자 입력 검증, 데이터 목록 처리 코드로 그대로 이어진다."	"""10""은 문자열이고 10은 숫자이므로 == 비교 결과는 False가 된다. 이 문제는 Level 2에서 조건문이나 리스트 상태를 직접 추적하는 연습이다. 정답은 보기의 익숙한 단어가 아니라, 변수 값과 실행 흐름이 실제로 만든 결과다. 특히 화면에 비슷해 보이면 같은 값이라고 판단하는 부분을 조심해야 한다. 비슷한 코드를 만났을 때도 먼저 변수에 저장된 값, 비교식의 True/False 결과, 들여쓰기된 블록의 실행 여부, 리스트에 들어 있는 현재 값을 순서대로 확인하면 안전하게 판단할 수 있다. 이 독해 습관은 나중에 필터링, 검색 결과 처리, 사용자 입력 검증, 데이터 목록 처리 코드로 그대로 이어진다. 따라서 정답은 ‘different’이다."
16	data/lessons/python_foundation_level2_v94_a2_part1.json	15	PYF94_A2_L02_IF_015	int 변환 후 비교	same	따라서 정답은 ‘same’이다.	YES	"int(""10"")은 숫자 10을 만들기 때문에 value == 10 비교 결과가 True가 된다. 이 문제는 Level 2에서 조건문이나 리스트 상태를 직접 추적하는 연습이다. 정답은 보기의 익숙한 단어가 아니라, 변수 값과 실행 흐름이 실제로 만든 결과다. 특히 변환 전 문자열 상태와 변환 후 숫자 상태를 섞어 생각하는 부분을 조심해야 한다. 비슷한 코드를 만났을 때도 먼저 변수에 저장된 값, 비교식의 True/False 결과, 들여쓰기된 블록의 실행 여부, 리스트에 들어 있는 현재 값을 순서대로 확인하면 안전하게 판단할 수 있다. 이 독해 습관은 나중에 필터링, 검색 결과 처리, 사용자 입력 검증, 데이터 목록 처리 코드로 그대로 이어진다."	"int(""10"")은 숫자 10을 만들기 때문에 value == 10 비교 결과가 True가 된다. 이 문제는 Level 2에서 조건문이나 리스트 상태를 직접 추적하는 연습이다. 정답은 보기의 익숙한 단어가 아니라, 변수 값과 실행 흐름이 실제로 만든 결과다. 특히 변환 전 문자열 상태와 변환 후 숫자 상태를 섞어 생각하는 부분을 조심해야 한다. 비슷한 코드를 만났을 때도 먼저 변수에 저장된 값, 비교식의 True/False 결과, 들여쓰기된 블록의 실행 여부, 리스트에 들어 있는 현재 값을 순서대로 확인하면 안전하게 판단할 수 있다. 이 독해 습관은 나중에 필터링, 검색 결과 처리, 사용자 입력 검증, 데이터 목록 처리 코드로 그대로 이어진다. 따라서 정답은 ‘same’이다."
17	data/lessons/python_foundation_level3_v95_a1_functions.json	8	PYF95_A1_FUNC_008_RETURN_NO_PRINT	return만 있는 함수	아무것도 출력되지 않음	따라서 화면에는 아무것도 출력되지 않는다. 보기 표현으로는 ‘아무것도 출력되지 않음’이 맞다.	YES	make_word()는 값을 return하지만 화면에 출력하지 않는다.  이 문제는 Level 3에서 함수 정의와 함수 호출을 분리해서 읽는 연습이다. def 줄은 코드를 묶어 이름을 붙이는 단계이고, 실제 실행은 함수 이름 뒤에 괄호를 붙여 호출하는 줄에서 일어난다. 정답을 고를 때는 함수 안으로 들어가기 전에 먼저 호출 줄의 argument 값을 확인하고, 그 값이 parameter 이름에 들어간다고 생각한 뒤 함수 본문을 한 줄씩 따라가야 한다. 또 print는 화면 출력이고 return은 호출한 자리로 값을 돌려주는 동작이라는 점을 구분해야 한다. 출력된 글자와 변수에 저장된 값이 서로 다를 수 있으므로 실제 실행 흐름을 기준으로 판단한다.	make_word()는 값을 return하지만 화면에 출력하지 않는다.  이 문제는 Level 3에서 함수 정의와 함수 호출을 분리해서 읽는 연습이다. def 줄은 코드를 묶어 이름을 붙이는 단계이고, 실제 실행은 함수 이름 뒤에 괄호를 붙여 호출하는 줄에서 일어난다. 정답을 고를 때는 함수 안으로 들어가기 전에 먼저 호출 줄의 argument 값을 확인하고, 그 값이 parameter 이름에 들어간다고 생각한 뒤 함수 본문을 한 줄씩 따라가야 한다. 또 print는 화면 출력이고 return은 호출한 자리로 값을 돌려주는 동작이라는 점을 구분해야 한다. 출력된 글자와 변수에 저장된 값이 서로 다를 수 있으므로 실제 실행 흐름을 기준으로 판단한다. 따라서 화면에는 아무것도 출력되지 않는다. 보기 표현으로는 ‘아무것도 출력되지 않음’이 맞다.
18	data/lessons/python_foundation_level3_v95_a2_dict_tuple_set.json	14	PYF95_A2_DTS_014_NESTED_DICT_READ	중첩 dict 값 읽기	Seoul	따라서 출력은 ‘Seoul’이다.	YES	먼저 profile dict를 꺼내고 그 안에서 city 값을 꺼낸다. 이 문제는 Level 3에서 자료구조의 모양과 접근 방식을 분리해서 읽는 연습이다. dict는 key로 value를 찾고, tuple은 순서가 있는 묶음이며, set은 중복 없는 값 모음이다. 정답을 고를 때는 코드가 값을 새로 만드는지, 기존 값을 바꾸는지, key로 꺼내는지, 반복문으로 key와 value를 함께 읽는지 확인해야 한다. 특히 대괄호 접근, get 기본값, keys와 values와 items의 차이, tuple unpacking, set의 중복 제거를 실제 실행 순서대로 따라간다.	먼저 profile dict를 꺼내고 그 안에서 city 값을 꺼낸다. 이 문제는 Level 3에서 자료구조의 모양과 접근 방식을 분리해서 읽는 연습이다. dict는 key로 value를 찾고, tuple은 순서가 있는 묶음이며, set은 중복 없는 값 모음이다. 정답을 고를 때는 코드가 값을 새로 만드는지, 기존 값을 바꾸는지, key로 꺼내는지, 반복문으로 key와 value를 함께 읽는지 확인해야 한다. 특히 대괄호 접근, get 기본값, keys와 values와 items의 차이, tuple unpacking, set의 중복 제거를 실제 실행 순서대로 따라간다. 따라서 출력은 ‘Seoul’이다.
19	data/lessons/python_foundation_level3_v95_a4_file_exception_path.json	27	PYF95_A4_FILE_027_JSON_DUMPS_STRING	dict를 JSON 문자열로 바꾸기	str	따라서 출력은 ‘str’이다.	YES	json.dumps의 결과 text는 문자열이다. 이 문제는 Level 3에서 파일 처리, 경로 처리, 예외 처리의 실행 흐름을 읽는 연습이다. open과 with는 파일을 여는 방식이고, read와 write는 내용을 읽거나 쓰는 동작이다. pathlib Path는 경로를 부품처럼 다루게 해 주며, try/except는 실패할 수 있는 코드의 정상 흐름과 오류 흐름을 나누어 준다. 정답은 코드가 파일을 읽는지 쓰는지, 오류가 발생하는지, except가 실행되는지, Path 속성이 어떤 부분을 가리키는지를 기준으로 고른다.	json.dumps의 결과 text는 문자열이다. 이 문제는 Level 3에서 파일 처리, 경로 처리, 예외 처리의 실행 흐름을 읽는 연습이다. open과 with는 파일을 여는 방식이고, read와 write는 내용을 읽거나 쓰는 동작이다. pathlib Path는 경로를 부품처럼 다루게 해 주며, try/except는 실패할 수 있는 코드의 정상 흐름과 오류 흐름을 나누어 준다. 정답은 코드가 파일을 읽는지 쓰는지, 오류가 발생하는지, except가 실행되는지, Path 속성이 어떤 부분을 가리키는지를 기준으로 고른다. 따라서 출력은 ‘str’이다.
20	data/lessons/python_foundation_level4_v95_a5_oop_basics.json	7	PYF95_A5_OOP_007_METHOD_PRINT	method 안 print 실행	woof	따라서 출력은 ‘woof’이다.	YES	pet.speak()가 speak method의 print를 실행한다. 이 문제는 Level 4에서 객체지향 기초 코드를 실행 순서대로 읽는 연습이다. class는 설계도이고 object는 class를 호출해서 만든 실제 값이다. self는 method가 실행되는 현재 object를 가리키며, __init__은 object가 만들어질 때 attribute를 준비하는 특별한 method다. 정답을 고를 때는 class 정의만 보고 바로 실행된다고 생각하지 말고, object 생성 줄, attribute 대입, method 호출, return 또는 print 흐름을 차례대로 따라가야 한다.	pet.speak()가 speak method의 print를 실행한다. 이 문제는 Level 4에서 객체지향 기초 코드를 실행 순서대로 읽는 연습이다. class는 설계도이고 object는 class를 호출해서 만든 실제 값이다. self는 method가 실행되는 현재 object를 가리키며, __init__은 object가 만들어질 때 attribute를 준비하는 특별한 method다. 정답을 고를 때는 class 정의만 보고 바로 실행된다고 생각하지 말고, object 생성 줄, attribute 대입, method 호출, return 또는 print 흐름을 차례대로 따라가야 한다. 따라서 출력은 ‘woof’이다.
21	data/lessons/python_foundation_level4_v95_a5_oop_basics.json	8	PYF95_A5_OOP_008_METHOD_NOT_CALLED	method 정의만 있고 호출 없음	아무것도 출력되지 않음	따라서 화면에는 아무것도 출력되지 않는다. 보기 표현으로는 ‘아무것도 출력되지 않음’이 맞다.	YES	pet.speak() 호출이 없으므로 print가 실행되지 않는다. 이 문제는 Level 4에서 객체지향 기초 코드를 실행 순서대로 읽는 연습이다. class는 설계도이고 object는 class를 호출해서 만든 실제 값이다. self는 method가 실행되는 현재 object를 가리키며, __init__은 object가 만들어질 때 attribute를 준비하는 특별한 method다. 정답을 고를 때는 class 정의만 보고 바로 실행된다고 생각하지 말고, object 생성 줄, attribute 대입, method 호출, return 또는 print 흐름을 차례대로 따라가야 한다.	pet.speak() 호출이 없으므로 print가 실행되지 않는다. 이 문제는 Level 4에서 객체지향 기초 코드를 실행 순서대로 읽는 연습이다. class는 설계도이고 object는 class를 호출해서 만든 실제 값이다. self는 method가 실행되는 현재 object를 가리키며, __init__은 object가 만들어질 때 attribute를 준비하는 특별한 method다. 정답을 고를 때는 class 정의만 보고 바로 실행된다고 생각하지 말고, object 생성 줄, attribute 대입, method 호출, return 또는 print 흐름을 차례대로 따라가야 한다. 따라서 화면에는 아무것도 출력되지 않는다. 보기 표현으로는 ‘아무것도 출력되지 않음’이 맞다.
22	data/lessons/python_beginner_mixed_review_v96_a1.json	24	PYV96_A1_REVIEW_024_BREAK_REVIEW	break 복습	1만 출력된다	따라서 1만 출력된다.	YES	n이 1일 때만 출력되고 2에서 break로 멈춘다. 이 문제는 초급 파이썬 코드를 한 줄씩 읽는 복습 문제다. 정답을 고를 때는 문법 이름을 외우는 것보다 실행 순서, 변수의 현재 값, 조건의 True/False, 반복 중 바뀌는 값, 자료구조에 남는 값을 확인해야 한다. 특히 print되는 값과 변수에 저장되는 값은 다를 수 있고, 함수는 호출될 때 실행되어 return 값을 돌려준다.	n이 1일 때만 출력되고 2에서 break로 멈춘다. 이 문제는 초급 파이썬 코드를 한 줄씩 읽는 복습 문제다. 정답을 고를 때는 문법 이름을 외우는 것보다 실행 순서, 변수의 현재 값, 조건의 True/False, 반복 중 바뀌는 값, 자료구조에 남는 값을 확인해야 한다. 특히 print되는 값과 변수에 저장되는 값은 다를 수 있고, 함수는 호출될 때 실행되어 return 값을 돌려준다. 따라서 1만 출력된다.
23	data/lessons/python_beginner_mixed_review_v96_a1.json	32	PYV96_A1_REVIEW_032_TRY_EXCEPT_REVIEW	try/except 복습	결과는 0이다	따라서 결과는 0이다.	YES	int('x')가 실패하므로 except에서 number가 0이 된다. 이 문제는 초급 파이썬 코드를 한 줄씩 읽는 복습 문제다. 정답을 고를 때는 문법 이름을 외우는 것보다 실행 순서, 변수의 현재 값, 조건의 True/False, 반복 중 바뀌는 값, 자료구조에 남는 값을 확인해야 한다. 특히 print되는 값과 변수에 저장되는 값은 다를 수 있고, 함수는 호출될 때 실행되어 return 값을 돌려준다.	int('x')가 실패하므로 except에서 number가 0이 된다. 이 문제는 초급 파이썬 코드를 한 줄씩 읽는 복습 문제다. 정답을 고를 때는 문법 이름을 외우는 것보다 실행 순서, 변수의 현재 값, 조건의 True/False, 반복 중 바뀌는 값, 자료구조에 남는 값을 확인해야 한다. 특히 print되는 값과 변수에 저장되는 값은 다를 수 있고, 함수는 호출될 때 실행되어 return 값을 돌려준다. 따라서 결과는 0이다.
